Price,unit,total_sqrt,bath,bhk,location
50,L,900,2,2,Ambavadi
76,L,1200,2,2,Ambavadi
80,L,1350,3,3,Ambavadi
85,L,1305,3,3,Ambavadi
48,L,1170,2,2,Ambavadi
95,L,1602,3,3,Ambavadi
75,L,1200,2,2,Ambavadi
68,L,1215,2,2,Ambavadi
85,L,1440,3,3,Ambavadi
60,L,1000,2,2,Ambavadi
50,L,1080,2,2,Ambavadi
53,L,855,2,2,Ambavadi
70,L,945,2,2,Ambavadi
50,L,1080,2,2,Ambavadi
53,L,855,2,2,Ambavadi
70,L,945,2,2,Ambavadi
88.55,L,1744,3,3,Ambli
77.99,L,1750,3,3,Ambli
77.99,L,1750,3,3,Ambli
77.99,L,1750,3,3,Ambli
77.99,L,1750,3,3,Ambli
89.86,L,2192,4,4,Bodakdev
67,L,1170,2,2,Bodakdev
63,L,1305,2,2,Bodakdev
82,L,1305,3,3,Bodakdev
62,L,1050,2,2,Bodakdev
60,L,1080,3,3,Bodakdev
57,L,1100,2,2,Bodakdev
99,L,1300,3,3,Bodakdev
98,L,1800,3,3,Bodakdev
89.15,L,2174,4,4,Bodakdev
95,L,1305,3,3,Bodakdev
90,L,1341,3,3,Bodakdev
98,L,3000,3,3,Bodakdev
90,L,2340,3,3,Bodakdev
97,L,1512,4,4,Bodakdev
67,L,1200,2,2,Bodakdev
68,L,1200,2,2,Bodakdev
65,L,1035,2,2,Bodakdev
71,L,1125,2,2,Bodakdev
95,L,1395,3,3,Bodakdev
90,L,1755,3,3,Bodakdev
90,L,2340,3,3,Bodakdev
85,L,1400,3,3,Bodakdev
60,L,1170,2,2,Bodakdev
65,L,1100,2,2,Bodakdev
71,L,1125,2,2,Bodakdev
95,L,1450,3,3,Bodakdev
65,L,1100,2,2,Bodakdev
71,L,1125,2,2,Bodakdev
95,L,1450,3,3,Bodakdev
40.46,L,1245,2,2,Bopal
57.8,L,1700,3,3,Bopal
55,L,1280,2,2,Bopal
70,L,1455,2,2,Bopal
69.5,L,1430,3,3,Bopal
78.12,L,1985,3,3,Bopal
77,L,1755,3,3,Bopal
53,L,1435,3,3,Bopal
52,L,1170,2,2,Bopal
52,L,1230,2,2,Bopal
60,L,1260,2,2,Bopal
51.28,L,1315,2,2,Bopal
51,L,1201,2,2,Bopal
31,L,1300,2,2,Bopal
60,L,1118,2,2,Bopal
50,L,1315,2,2,Bopal
30,L,1035,2,2,Bopal
59.75,L,1615,3,3,Bopal
79,L,1430,3,3,Bopal
80,L,1435,3,3,Bopal
72,L,1385,3,3,Bopal
78,L,1430,3,3,Bopal
75,L,1700,3,3,Bopal
66,L,1435,3,3,Bopal
66,L,1376,3,3,Bopal
95,L,1905,3,3,Bopal
55,L,1240,2,2,Bopal
53,L,1450,3,3,Bopal
54.1,L,1615,3,3,Bopal
67,L,1260,2,2,Bopal
49,L,1185,2,2,Bopal
60,L,1250,3,3,Bopal
88.15,L,2150,4,4,Bopal
72,L,1755,3,3,Bopal
24,L,760,1,1,Bopal
60,L,1215,2,2,Bopal
57.4,L,1435,3,3,Bopal
68,L,1440,3,3,Bopal
59,L,1185,2,2,Bopal
55,L,1076,2,2,Bopal
37,L,945,2,2,Bopal
78,L,1200,2,2,Bopal
62,L,1420,3,3,Bopal
55,L,1522,2,2,Bopal
53,L,1230,2,2,Bopal
64,L,1376,3,3,Bopal
72,L,1700,3,3,Bopal
51,L,1265,2,2,Bopal
64,L,1315,2,2,Bopal
79,L,1615,3,3,Bopal
90,L,1985,3,3,Bopal
81,L,1185,2,2,Bopal
70,L,1440,3,3,Bopal
59.5,L,1700,3,3,Bopal
99,L,1435,3,3,Bopal
72,L,1580,3,3,Bopal
55,L,1170,2,2,Bopal
85,L,1600,3,3,Bopal
56,L,1215,2,2,Bopal
54,L,1117,2,2,Bopal
45,L,999,2,2,Bopal
50,L,1170,2,2,Bopal
74,L,1440,3,3,Bopal
74.5,L,1440,3,3,Bopal
77,L,1440,3,3,Bopal
77,L,1570,3,3,Bopal
90,L,1750,3,3,Bopal
80,L,1425,3,3,Bopal
55,L,1250,2,2,Bopal
70,L,1503,3,3,Bopal
75,L,1500,3,3,Bopal
50,L,1250,2,2,Bopal
65,L,1440,3,3,Bopal
65,L,1435,3,3,Bopal
76,L,1725,3,3,Bopal
93,L,1985,3,3,Bopal
63,L,1430,3,3,Bopal
52,L,1300,2,2,Bopal
64,L,1430,3,3,Bopal
60,L,1350,3,3,Bopal
63,L,1430,3,3,Bopal
67,L,1440,3,3,Bopal
53,L,1180,2,2,Bopal
55,L,1270,1,1,Bopal
48,L,1215,2,2,Bopal
62,L,1350,3,3,Bopal
65,L,1440,3,3,Bopal
